"Canton","Nationalité","Classes d'âge 15-24, 25-49, 50 ans et plus",,"Mois","Janvier 2016","Février 2016","Mars 2016","Avril 2016","Mai 2016","Juin 2016","Juillet 2016","Août 2016","Septembre 2016","Octobre 2016","Novembre 2016","Décembre 2016"
"Argovie","Suisses","2","25-49 ans",,"3'281","3'280","3'226","3'142","3'126","3'012","2'972","2'968","2'979","2'989","3'006","3'150"
"Argovie","Suisses","3","50 ans et plus",,"2'078","2'083","2'068","2'011","1'987","1'953","1'914","1'916","1'897","1'944","1'979","2'029"
"Argovie","Suisses","Total",,,"6'372","6'340","6'148","5'976","5'911","5'731","5'728","5'941","5'902","5'889","5'965","6'149"
"Argovie","Total","",,,"12'311","12'297","11'945","11'505","11'274","10'970","10'801","11'008","10'999","11'123","11'519","12'054"
"Thurgovie","Etrangers","1","15-24 ans",,"252","275","273","225","199","196","182","234","236","231","207","202"
"Thurgovie","Etrangers","2","25-49 ans",,"1'476","1'481","1'425","1'275","1'215","1'142","1'073","1'009","1'032","1'045","1'124","1'267"
"Thurgovie","Etrangers","3","50 ans et plus",,"465","471","457","447","429","394","382","368","376","379","421","471"
"Thurgovie","Etrangers","Total",,,"2'193","2'227","2'155","1'947","1'843","1'732","1'637","1'611","1'644","1'655","1'752","1'940"
"Thurgovie","Suisses","1","15-24 ans",,"446","426","394","379","332","295","291","405","420","383","350","358"
"Thurgovie","Suisses","2","25-49 ans",,"1'035","1'062","1'009","956","964","901","859","879","904","883","872","880"
"Thurgovie","Suisses","3","50 ans et plus",,"664","700","669","645","642","631","618","603","597","596","573","576"
"Thurgovie","Suisses","Total",,,"2'145","2'188","2'072","1'980","1'938","1'827","1'768","1'887","1'921","1'862","1'795","1'814"
"Thurgovie","Total","",,,"4'338","4'415","4'227","3'927","3'781","3'559","3'405","3'498","3'565","3'517","3'547","3'754"
"Tessin","Etrangers","1","15-24 ans",,"231","224","206","196","186","170","183","199","215","205","215","238"
"Tessin","Etrangers","2","25-49 ans",,"2'377","2'358","1'978","1'740","1'594","1'459","1'402","1'412","1'470","1'695","1'867","2'039"
"Tessin","Etrangers","3","50 ans et plus",,"924","891","749","688","661","607","614","624","634","714","810","872"
"Tessin","Etrangers","Total",,,"3'532","3'473","2'933","2'624","2'441","2'236","2'199","2'235","2'319","2'614","2'892","3'149"
"Tessin","Suisses","1","15-24 ans",,"694","681","597","580","532","497","491","557","645","603","598","643"
"Tessin","Suisses","2","25-49 ans",,"1'844","1'840","1'691","1'608","1'532","1'498","1'491","1'488","1'518","1'529","1'595","1'712"
"Tessin","Suisses","3","50 ans et plus",,"1'040","1'040","972","937","898","888","888","874","892","951","1'000","1'033"
"Tessin","Suisses","Total",,,"3'578","3'561","3'260","3'125","2'962","2'883","2'870","2'919","3'055","3'083","3'193","3'388"
"Tessin","Total","",,,"7'110","7'034","6'193","5'749","5'403","5'119","5'069","5'154","5'374","5'697","6'085","6'537"
"Vaud","Etrangers","1","15-24 ans",,"814","816","749","704","677","655","659","878","794","729","739","705"
"Vaud","Etrangers","2","25-49 ans",,"8'037","7'817","7'484","7'042","6'767","6'422","6'331","6'395","6'426","6'498","6'723","7'422"
"Vaud","Etrangers","3","50 ans et plus",,"2'122","2'059","2'003","1'903","1'803","1'732","1'716","1'768","1'746","1'775","1'890","2'139"
"Vaud","Etrangers","Total",,,"10'973","10'692","10'236","9'649","9'247","8'809","8'706","9'041","8'966","9'002","9'352","10'266"
"Vaud","Suisses","1","15-24 ans",,"1'290","1'250","1'145","1'157","1'122","1'054","1'154","1'531","1'398","1'276","1'199","1'204"
"Vaud","Suisses","2","25-49 ans",,"5'626","5'611","5'444","5'248","5'181","5'160","5'380","5'488","5'423","5'508","5'459","5'730"
"Vaud","Suisses","3","50 ans et plus",,"2'551","2'543","2'536","2'497","2'504","2'459","2'485","2'487","2'449","2'446","2'457","2'503"
"Vaud","Suisses","Total",,,"9'467","9'404","9'125","8'902","8'807","8'673","9'019","9'506","9'270","9'230","9'115","9'437"
"Vaud","Total","",,,"20'440","20'096","19'361","18'551","18'054","17'482","17'725","18'547","18'236","18'232","18'467","19'703"
"Valais","Etrangers","1","15-24 ans",,"459","429","349","337","294","303","320","361","347","319","353","392"
"Valais","Etrangers","2","25-49 ans",,"3'783","3'361","2'789","2'506","2'197","1'723","1'556","1'614","1'708","1'892","2'312","3'585"
"Valais","Etrangers","3","50 ans et plus",,"1'317","1'176","1'009","855","720","569","508","498","545","579","794","1'225"
"Valais","Etrangers","Total",,,"5'559","4'966","4'147","3'698","3'211","2'595","2'384","2'473","2'600","2'790","3'459","5'202"
"Valais","Suisses","1","15-24 ans",,"763","701","599","543","485","466","566","625","566","550","541","611"
"Valais","Suisses","2","25-49 ans",,"2'185","2'038","1'829","1'780","1'685","1'594","1'592","1'635","1'609","1'559","1'639","2'002"
"Valais","Suisses","3","50 ans et plus",,"1'102","1'063","1'005","966","940","866","843","838","824","835","900","1'045"
"Valais","Suisses","Total",,,"4'050","3'802","3'433","3'289","3'110","2'926","3'001","3'098","2'999","2'944","3'080","3'658"
"Valais","Total","",,,"9'609","8'768","7'580","6'987","6'321","5'521","5'385","5'571","5'599","5'734","6'539","8'860"
"Neuchâtel","Etrangers","1","15-24 ans",,"238","241","231","215","205","190","206","264","255","244","249","265"
"Neuchâtel","Etrangers","2","25-49 ans",,"1'939","1'960","1'833","1'727","1'663","1'594","1'645","1'620","1'621","1'602","1'705","1'960"
"Neuchâtel","Etrangers","3","50 ans et plus",,"497","477","475","434","441","423","419","411","420","432","451","529"
"Neuchâtel","Etrangers","Total",,,"2'674","2'678","2'539","2'376","2'309","2'207","2'270","2'295","2'296","2'278","2'405","2'754"
"Neuchâtel","Suisses","1","15-24 ans",,"562","545","493","471","440","431","472","599","609","578","547","517"
"Neuchâtel","Suisses","2","25-49 ans",,"1'688","1'681","1'604","1'583","1'605","1'593","1'684","1'664","1'651","1'662","1'682","1'763"
"Neuchâtel","Suisses","3","50 ans et plus",,"730","746","730","739","753","775","789","791","775","771","772","806"
"Neuchâtel","Suisses","Total",,,"2'980","2'972","2'827","2'793","2'798","2'799","2'945","3'054","3'035","3'011","3'001","3'086"
"Neuchâtel","Total","",,,"5'654","5'650","5'366","5'169","5'107","5'006","5'215","5'349","5'331","5'289","5'406","5'840"
"Genève","Etrangers","1","15-24 ans",,"437","439","422","396","379","337","352","365","372","367","353","344"
"Genève","Etrangers","2","25-49 ans",,"5'334","5'215","5'152","5'040","4'958","4'805","4'820","4'842","4'877","4'934","4'845","4'932"
"Genève","Etrangers","3","50 ans et plus",,"1'193","1'232","1'224","1'152","1'151","1'147","1'137","1'155","1'165","1'178","1'161","1'202"
"Genève","Etrangers","Total",,,"6'964","6'886","6'798","6'588","6'488","6'289","6'309","6'362","6'414","6'479","6'359","6'478"
"Genève","Suisses","1","15-24 ans",,"771","756","703","689","672","634","634","672","724","701","668","618"
"Genève","Suisses","2","25-49 ans",,"4'342","4'272","4'243","4'108","4'064","4'047","4'156","4'227","4'239","4'222","4'147","4'256"
"Genève","Suisses","3","50 ans et plus",,"1'567","1'535","1'540","1'501","1'514","1'512","1'538","1'569","1'584","1'592","1'556","1'595"
"Genève","Suisses","Total",,,"6'680","6'563","6'486","6'298","6'250","6'193","6'328","6'468","6'547","6'515","6'371","6'469"
"Genève","Total","",,,"13'644","13'449","13'284","12'886","12'738","12'482","12'637","12'830","12'961","12'994","12'730","12'947"
"Jura","Etrangers","1","15-24 ans",,"80","79","80","76","76","75","72","73","73","75","67","68"
"Jura","Etrangers","2","25-49 ans",,"451","439","427","403","387","378","389","401","395","394","398","440"
"Jura","Etrangers","3","50 ans et plus",,"121","124","126","110","110","106","105","105","103","103","115","134"
"Jura","Etrangers","Total",,,"652","642","633","589","573","559","566","579","571","572","580","642"
"Jura","Suisses","1","15-24 ans",,"214","204","200","192","183","185","208","266","241","231","216","246"
"Jura","Suisses","2","25-49 ans",,"556","562","539","515","490","497","522","540","531","535","546","598"
